_id,partner,course,skills,rating,reviewCount,level,certificateType,duration,creditEligibility
66fe20076f4453256b07a954,DeepLearning.AI,Generative AI with Large Language Models,"[' Machine Learning', ' Natural Language Processing', ' Python Programming']",4.8,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a95b,The University of Sydney,Introduction to Calculus,"[' Algebra', ' Calculus', ' Mathematical Theory & Analysis', ' Mathematics', ' Problem Solving', ' Computational Logic', ' Critical Thinking', ' Differential Equations', ' Plot (Graphics)', ' Geometry']",4.8,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a95c,IBM,Machine Learning with Python,"[' Machine Learning', ' Algorithms', ' Applied Machine Learning', ' Customer Analysis', ' Data Analysis', ' Decision Making', ' Human Learning', ' Machine Learning Algorithms', ' Python Programming', ' Statistical Machine Learning', ' Regression']",4.7,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a95d,DeepLearning.AI,Convolutional Neural Networks,"[' Artificial Neural Networks', ' Computer Vision', ' Machine Learning', ' Applied Machine Learning', ' Deep Learning', ' Machine Learning Software', ' Machine Learning Algorithms', ' Network Model', ' Tensorflow', ' Network Architecture', ' Human Learning']",4.9,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a95f,DeepLearning.AI,Sequence Models,"[' Artificial Neural Networks', ' Deep Learning', ' Machine Learning', ' Natural Language Processing', ' Machine Learning Algorithms', ' Applied Machine Learning', ' Python Programming', ' Human Learning', ' Tensorflow', ' Linear Algebra']",4.8,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a95e,Stanford University,Introduction to Mathematical Thinking,"[' Critical Thinking', ' Mathematical Theory & Analysis', ' Mathematics', ' Problem Solving', ' Computational Logic', ' Algebra', ' Applied Mathematics', ' Data Analysis', ' Algorithms', ' Computational Thinking']",4.8,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a960,IBM,Python Project for Data Science,"[' Python Programming', ' Computer Programming', ' Data Analysis', ' Data Science']",4.5,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a961,DeepLearning.AI,Convolutional Neural Networks in TensorFlow,"[' Machine Learning', ' Deep Learning', ' Machine Learning Algorithms', ' Applied Machine Learning', ' Artificial Neural Networks', ' Computer Vision', ' Human Learning', ' Tensorflow', ' Python Programming', ' Machine Learning Software']",4.7,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a95a,DeepLearning.AI,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning","[' Machine Learning', ' Tensorflow', ' Artificial Neural Networks', ' Computer Programming', ' Machine Learning Algorithms', ' Deep Learning', ' Machine Learning Software', ' Applied Machine Learning', ' Human Learning', ' Algorithms', ' Computer Vision']",4.8,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a964,University of Michigan,Instructional Methods in Health Professions Education,[],4.7,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a965,IBM,Exploratory Data Analysis for Machine Learning,"[' Data Analysis', ' Exploratory Data Analysis', ' Machine Learning', ' Statistical Machine Learning', ' Feature Engineering', ' General Statistics', ' Probability & Statistics', ' Statistical Analysis', ' Algorithms', ' Data Structures']",4.6,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a966,The Hong Kong University of Science and Technology,Python and Statistics for Financial Analysis,"[' Basic Descriptive Statistics', ' Computer Programming', ' Data Analysis', ' Finance', ' Financial Analysis', ' Probability & Statistics', ' Python Programming', ' Statistical Analysis', ' Data Analysis Software', ' General Statistics', ' Probability Distribution']",4.4,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a967,DeepLearning.AI,Natural Language Processing with Probabilistic Models,"[' Machine Learning', ' Natural Language Processing', ' Python Programming', ' Statistical Programming', ' Statistical Machine Learning']",4.7,0,Intermediate , Course , 1 - 4 Weeks,False
